sample_id,true_angle_deg,baseline_angle_deg,scaffold_angle_deg,clutter_level,notes
angle_001,16.2,14.652801513671932,15.937780877551774,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_050,91.7,89.9800148010254,92.11398441288354,high,clutter_segments=4; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_051,94.4,93.35069274902344,93.42071919685183,high,clutter_segments=3; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_052,97.1,95.29512596130371,95.31854289410103,high,clutter_segments=4; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
angle_053,95.0,99.37036180496216,97.63125256000387,high,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_054,97.7,98.8068618774414,99.31403100564835,high,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_055,100.5,101.42892456054688,101.30887384937034,high,clutter_segments=3; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
angle_056,103.2,101.25971984863281,101.81479119916719,high,clutter_segments=4; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_057,101.1,102.12170791625977,100.56249602886032,high,clutter_segments=3; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_058,103.8,104.42442321777344,103.9184569569473,high,clutter_segments=4; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
angle_059,106.5,125.96622467041016,106.01883427600399,high,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_060,109.2,109.20408630371088,109.7117383286602,high,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_061,107.1,111.12746524810791,109.58524776714376,high,clutter_segments=3; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
angle_062,109.9,106.12254333496094,108.31728034718921,high,clutter_segments=4; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_063,112.6,112.67640686035156,112.66719211461731,high,clutter_segments=3; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_064,115.3,116.16973114013672,115.75688324588748,high,clutter_segments=4; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
angle_065,113.2,110.21916389465332,111.74299159261506,high,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_066,115.9,114.80678176879883,116.62808581879068,high,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_067,118.6,113.18654632568357,120.40821686293037,high,clutter_segments=3; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
angle_068,121.4,121.54561424255371,120.99191240170586,high,clutter_segments=4; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_069,119.3,120.00792694091794,119.53742847451541,high,clutter_segments=3; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_070,122.0,120.63762664794922,121.09082382746999,high,clutter_segments=4; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
angle_071,124.7,123.93316650390625,124.13057829164438,high,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=11
angle_072,127.4,126.29620742797852,126.04255107716631,high,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=11
angle_073,125.3,124.80084228515625,124.77331001011208,extreme,clutter_segments=4; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_074,128.1,127.12093353271484,127.04523068362539,extreme,clutter_segments=5; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_075,130.8,131.89315414428708,130.96451373206742,extreme,clutter_segments=4; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
angle_076,133.5,133.0591278076172,133.50919306097148,extreme,clutter_segments=5; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_077,131.4,130.45912742614746,129.90230306537478,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_078,134.1,132.7761688232422,132.99304878510975,extreme,clutter_segments=5; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
angle_079,136.8,133.85442352294922,135.03202546702767,extreme,clutter_segments=4; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_080,139.5,140.08123779296875,140.69500170060354,extreme,clutter_segments=5; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_081,137.5,129.72241401672363,136.66990469152432,extreme,clutter_segments=4; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
angle_082,140.2,138.20036697387695,139.20564517788551,extreme,clutter_segments=5; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_083,142.9,143.8595027923584,143.12373614608634,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_084,145.6,146.04441833496094,146.89841898074008,extreme,clutter_segments=5; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
angle_085,143.5,97.90933227539062,150.18688910429734,extreme,clutter_segments=4; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_086,146.2,12.755538940429688,163.82012000573616,extreme,clutter_segments=5; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_087,149.0,138.3431911468506,144.8812959319522,extreme,clutter_segments=4; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
angle_088,151.7,148.61240768432617,150.30747340215152,extreme,clutter_segments=5; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_089,149.6,151.6131134033203,148.5221308618643,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_090,152.3,153.7997932434082,154.21421584907085,extreme,clutter_segments=5; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
angle_091,155.0,153.35384368896484,154.60041668789955,extreme,clutter_segments=4; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_092,157.7,13.199811935424805,18.8144047094178,extreme,clutter_segments=5; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_093,155.7,160.9280104637146,160.06529978247335,extreme,clutter_segments=4; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
angle_094,158.4,156.4384765625,157.28929106184574,extreme,clutter_segments=5; nuisance_shapes=5; dark_distractors=1; ray_thickness=10
angle_095,161.1,161.90836334228516,161.56233980098563,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10
angle_096,163.8,149.66718435287476,160.5309477610437,extreme,clutter_segments=5; nuisance_shapes=7; dark_distractors=0; ray_thickness=10
