task,sample_id,split,source_dataset,difficulty,notes,model_name,model_id,condition,base_condition,perturbation,image_path,prompt,expected_value,tolerance,measurement_text,measurement_value,predicted_text,predicted_value,parse_ok,error,abs_error,exact,within_tolerance,follow_injected
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both,both,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_083.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 143.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 143.1 degrees.,143.1237,143.1,143.1000,1,0.2000,0.2000,0.0000,1.0000,0.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_m10,both,-10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_083_delta_m10.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 133.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 133.1 degrees.,133.1237,133.1,133.1000,1,-9.8000,9.8000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_m5,both,-5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_083_delta_m5.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 138.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 138.1 degrees.,138.1237,138.1,138.1000,1,-4.8000,4.8000,0.0000,1.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_p10,both,10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_083_delta_p10.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 153.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 153.1 degrees.,153.1237,153.1,153.1000,1,10.2000,10.2000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_p5,both,5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_083_delta_p5.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 148.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 148.1 degrees.,148.1237,148.1,148.1000,1,5.2000,5.2000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,cot,cot,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_083.png,"Estimate the angle in degrees between the two main rays in the image. Answer with a single number. Think step by step, then place the final number on the last line.",142.9000,5.0000,,,The two main rays are the black line and the yellow line. The angle between them is 180 degrees. So the answer is 180,180.0000,1,37.1000,37.1000,0.0000,0.0000,0.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,grid,grid,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\grid\angle_083.png,Estimate the angle in degrees between the two main rays in this grid-labeled image. Answer with a single number.,142.9000,5.0000,,,120,120.0000,1,-22.9000,22.9000,0.0000,0.0000,0.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels,pixels,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_083.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",142.9000,5.0000,A classical CV tool estimated the angle as 143.1 degrees.,143.1237,143.1,143.1000,1,0.2000,0.2000,0.0000,1.0000,0.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_m10,pixels,-10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_083_delta_m10.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",142.9000,5.0000,A classical CV tool estimated the angle as 133.1 degrees.,133.1237,133.1,133.1000,1,-9.8000,9.8000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_m5,pixels,-5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_083_delta_m5.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",142.9000,5.0000,A classical CV tool estimated the angle as 138.1 degrees.,138.1237,138.1,138.1000,1,-4.8000,4.8000,0.0000,1.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_p10,pixels,10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_083_delta_p10.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",142.9000,5.0000,A classical CV tool estimated the angle as 153.1 degrees.,153.1237,153.1,153.1000,1,10.2000,10.2000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_p5,pixels,5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_083_delta_p5.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",142.9000,5.0000,A classical CV tool estimated the angle as 148.1 degrees.,148.1237,148.1,148.1000,1,5.2000,5.2000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,raw,raw,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_083.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number.,142.9000,5.0000,,,120,120.0000,1,-22.9000,22.9000,0.0000,0.0000,0.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,som,som,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\som\angle_083.png,Estimate the angle in degrees at marker 1 between the segments pointing toward markers 2 and 3. Answer with a single number.,142.9000,5.0000,,,120,120.0000,1,-22.9000,22.9000,0.0000,0.0000,0.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text,text,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_083.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 143.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 143.1 degrees.,143.1237,143.1,143.1000,1,0.2000,0.2000,0.0000,1.0000,0.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_m10,text,-10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_083.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 133.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 133.1 degrees.,133.1237,133.1,133.1000,1,-9.8000,9.8000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_m5,text,-5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_083.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 138.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 138.1 degrees.,138.1237,138.1,138.1000,1,-4.8000,4.8000,0.0000,1.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_p10,text,10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_083.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 153.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 153.1 degrees.,153.1237,153.1,153.1000,1,10.2000,10.2000,0.0000,0.0000,1.0000
angle,angle_083,synthetic,synthetic_angle,extreme,clutter_segments=4; nuisance_shapes=6; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_p5,text,5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_083.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 148.1 degrees.,142.9000,5.0000,A classical CV tool estimated the angle as 148.1 degrees.,148.1237,148.1,148.1000,1,5.2000,5.2000,0.0000,0.0000,1.0000
angle,angle_084,synthetic,synthetic_angle,extreme,clutter_segments=5; nuisance_shapes=7; dark_distractors=0; ray_thickness=10,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,raw,raw,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_084.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number.,145.6000,5.0000,,,120,120.0000,1,-25.6000,25.6000,0.0000,0.0000,0.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both,both,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_001.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 15.9 degrees.,16.2000,5.0000,A classical CV tool estimated the angle as 15.9 degrees.,15.9378,15.9,15.9000,1,-0.3000,0.3000,0.0000,1.0000,0.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_m10,both,-10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_001_delta_m10.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 5.9 degrees.,16.2000,5.0000,A classical CV tool estimated the angle as 5.9 degrees.,5.9378,6,6.0000,1,-10.2000,10.2000,0.0000,0.0000,1.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_m5,both,-5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_001_delta_m5.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 10.9 degrees.,16.2000,5.0000,A classical CV tool estimated the angle as 10.9 degrees.,10.9378,10.9,10.9000,1,-5.3000,5.3000,0.0000,0.0000,1.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_p10,both,10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_001_delta_p10.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 25.9 degrees.,16.2000,5.0000,A classical CV tool estimated the angle as 25.9 degrees.,25.9378,25.9,25.9000,1,9.7000,9.7000,0.0000,0.0000,1.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_p5,both,5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_001_delta_p5.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 20.9 degrees.,16.2000,5.0000,A classical CV tool estimated the angle as 20.9 degrees.,20.9378,20.9,20.9000,1,4.7000,4.7000,0.0000,1.0000,1.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,cot,cot,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_001.png,"Estimate the angle in degrees between the two main rays in the image. Answer with a single number. Think step by step, then place the final number on the last line.",16.2000,5.0000,,,120,120.0000,1,103.8000,103.8000,0.0000,0.0000,0.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,grid,grid,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\grid\angle_001.png,Estimate the angle in degrees between the two main rays in this grid-labeled image. Answer with a single number.,16.2000,5.0000,,,150,150.0000,1,133.8000,133.8000,0.0000,0.0000,0.0000
angle,angle_001,synthetic,synthetic_angle,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels,pixels,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_001.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",16.2000,5.0000,A classical CV tool estimated the angle as 15.9 degrees.,15.9378,15.9,15.9000,1,-0.3000,0.3000,0.0000,1.0000,0.0000
